Categoria,Subcategoria,Producto,Precio,URL Imagen,Nutriscore
,,Jamon cocido extra Nuestra Alacena sobre 200 g,"2,19 €",https://www.dia.es/product_images/298528/298528_ISO_0_ES.jpg?imwidth=176,D
,,Fiambre de pavo Nuestra Alacena sobre 400 g,"2,75 €",https://www.dia.es/product_images/297977/297977_ISO_0_ES.jpg?imwidth=176,B
,,Pavo trufado con pistachos Serrano sobre 150 g,"1,89 €",https://www.dia.es/product_images/296598/296598_ISO_0_ES.jpg?imwidth=176,D
,,Jamon cocido extra braseado Nuestra Alacena sobre 150 g,"2,25 €",https://www.dia.es/product_images/296230/296230_ISO_0_ES.jpg?imwidth=176,B
,,Chopped pork Nuestra Alacena 500 g,"2,25 €",https://www.dia.es/product_images/274755/274755_ISO_0_ES.jpg?imwidth=176,E
,,Mortadela Nuestra Alacena 500 g,"2,15 €",https://www.dia.es/product_images/274754/274754_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pollo Nuestra Alacena sobre 200 g,"2,11 €",https://www.dia.es/product_images/274104/274104_ISO_0_ES.jpg?imwidth=176,C
,,Pechuga de pollo braseado Nuestra Alacena sobre 200 g,"2,29 €",https://www.dia.es/product_images/274101/274101_ISO_0_ES.jpg?imwidth=176,E
,,Pechuga de pavo braseado Nuestra Alacena sobre 200 g,"2,49 €",https://www.dia.es/product_images/273964/273964_ISO_0_ES.jpg?imwidth=176,C
,,Panceta curada Nuestra Alacena sobre 150 + 15 g,"1,99 €",https://www.dia.es/product_images/273962/273962_ISO_0_ES.jpg?imwidth=176,D
,,Jamon cocido extra sabor ahumado Nuestra Alacena sobre 250 g,"2,75 €",https://www.dia.es/product_images/273958/273958_ISO_0_ES.jpg?imwidth=176,D
,,Pechuga de pavo bajo en grasa Nuestra Alacena 500 g,"3,49 €",https://www.dia.es/product_images/273956/273956_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pavo bajo en sal Nuestra Alacena 500 g,"3,89 €",https://www.dia.es/product_images/273955/273955_ISO_0_ES.jpg?imwidth=176,C
,,Pavo maxi Nuestra Alacena 900 g + 100 g,"2,99 €",https://www.dia.es/product_images/273954/273954_ISO_0_ES.jpg?imwidth=176,A
,,Chopped de pavo Nuestra Alacena sobre 200 g,"1,69 €",https://www.dia.es/product_images/273953/273953_ISO_0_ES.jpg?imwidth=176,D
,,Mortadela de pavo Nuestra Alacena sobre 200 g,"1,59 €",https://www.dia.es/product_images/273952/273952_ISO_0_ES.jpg?imwidth=176,D
,,Mortadela Bologna I.G.P. Seleccion Mundial sobre 150 g,"1,99 €",https://www.dia.es/product_images/273756/273756_ISO_0_ES.jpg?imwidth=176,C
,,Bacon en taco Nuestra Alacena bolsa 300 g,"2,89 €",https://www.dia.es/product_images/273751/273751_ISO_0_ES.jpg?imwidth=176,D
,,Chopped lata Nuestra Alacena sobre 250 g,"1,99 €",https://www.dia.es/product_images/273748/273748_ISO_0_ES.jpg?imwidth=176,C
,,Cabeza de jabali Nuestra Alacena sobre 200 g,"1,99 €",https://www.dia.es/product_images/273747/273747_ISO_0_ES.jpg?imwidth=176,A
,,Jamon york maxi Nuestra Alacena 800 g,"2,99 €",https://www.dia.es/product_images/273746/273746_ISO_0_ES.jpg?imwidth=176,D
,,Paleta cocida Nuestra Alacena sobre 250 g,"2,59 €",https://www.dia.es/product_images/273744/273744_ISO_0_ES.jpg?imwidth=176,B
,,Fiambre maxi york Nuestra Alacena sobre 400 g,"1,90 €",https://www.dia.es/product_images/273742/273742_ISO_0_ES.jpg?imwidth=176,B
,,Pechuga pavo bajo en sal Elpozo sobre 400 g,"3,99 €",https://www.dia.es/product_images/273145/273145_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pavo en finas lonchas Elpozo sobre 115 g,"1,50 €",https://www.dia.es/product_images/263497/263497_ISO_0_ES.jpg?imwidth=176,C
,,Mortadela ahumada Mrm sobre 200 g,"2,29 €",https://www.dia.es/product_images/207576/207576_ISO_0_ES.jpg?imwidth=176,A
,,Lacon en tapas Mrm bandeja 200 g,"4,09 €",https://www.dia.es/product_images/207575/207575_ISO_0_ES.jpg?imwidth=176,D
,,Pechuga de pavo braseado Campofrio Finissimas sobre 115 g,"1,99 €",https://www.dia.es/product_images/187756/187756_ISO_0_ES.jpg?imwidth=176,A
,,Pechuguitas de pollo asada La carlotena bandeja 100 g,"2,09 €",https://www.dia.es/product_images/182582/182582_ISO_0_ES.jpg?imwidth=176,B
,,Pechuga de pavo Elpozo Bienstar sobre 115 g,"1,50 €",https://www.dia.es/product_images/170157/170157_ISO_0_ES.jpg?imwidth=176,E
,,Chopped pork Campofrio sobre 95 g,"1,00 €",https://www.dia.es/product_images/148433/148433_ISO_0_ES.jpg?imwidth=176,C
,,Mortadela clasica Campofrio sobre 95 g,"1,00 €",https://www.dia.es/product_images/148432/148432_ISO_0_ES.jpg?imwidth=176,B
,,Fiambre de york Elpozo sobre 300 g,"2,00 €",https://www.dia.es/product_images/137167/137167_ISO_0_ES.jpg?imwidth=176,A
,,Pechuga de pavo Elpozo 380 g,"3,00 €",https://www.dia.es/product_images/100807/100807_ISO_0_ES.jpg?imwidth=176,D
,,Fuet extra Nuestra Alacena bolsa 2 x 170 g,"3,59 €",https://www.dia.es/product_images/274138/274138_ISO_0_ES.jpg?imwidth=176,B
,,Chorizo extra dulce Nuestra Alacena bolsa 270 g,"2,49 €",https://www.dia.es/product_images/273976/273976_ISO_0_ES.jpg?imwidth=176,E
,,Chorizo extra Nuestra Alacena bandeja 2 x 100 g,"1,99 €",https://www.dia.es/product_images/273988/273988_ISO_0_ES.jpg?imwidth=176,B
,,Salchichon extra Nuestra Alacena bandeja 2 x 100 g,"1,99 €",https://www.dia.es/product_images/274140/274140_ISO_0_ES.jpg?imwidth=176,E
,,Chorizo extra picante Nuestra Alacena bolsa 270 g,"2,49 €",https://www.dia.es/product_images/273977/273977_ISO_0_ES.jpg?imwidth=176,A
,,Lomo embuchado Nuestra Alacena bandeja 2 x 70 g,"2,69 €",https://www.dia.es/product_images/274063/274063_ISO_0_ES.jpg?imwidth=176,C
,,Salami extra Nuestra Alacena bandeja 200 g,"1,75 €",https://www.dia.es/product_images/274141/274141_ISO_0_ES.jpg?imwidth=176,D
,,Espetec extra Casa Tarradellas bolsa 180 g,"2,49 €",https://www.dia.es/product_images/37114/37114_ISO_0_ES.jpg?imwidth=176,D
,,Chorizo de pamplona extra Nuestra Alacena bandeja 2 x 112.5 g,"2,09 €",https://www.dia.es/product_images/273982/273982_ISO_0_ES.jpg?imwidth=176,C
,,Espetec extra Nuestra Alacena bolsa 170 g,"2,19 €",https://www.dia.es/product_images/274137/274137_ISO_0_ES.jpg?imwidth=176,D
,,Chorizo y salchichon extra Nuestra Alacena bandeja 2 x 100 g,"1,79 €",https://www.dia.es/product_images/273991/273991_ISO_0_ES.jpg?imwidth=176,B
,,Longaniza payes extra Nuestra Alacena bandeja 2 x 62 g,"2,19 €",https://www.dia.es/product_images/274188/274188_ISO_0_ES.jpg?imwidth=176,C
,,Salchichon iberico extra Nuestra Alacena bandeja 2 x 60 g,"1,99 €",https://www.dia.es/product_images/274186/274186_ISO_0_ES.jpg?imwidth=176,C
,,Chorizo Revilla sobre 65 g,"1,00 €",https://www.dia.es/product_images/15976/15976_ISO_0_ES.jpg?imwidth=176,B
,,Mini fuet Campofrio bolsa 50 g,"1,49 €",https://www.dia.es/product_images/148112/148112_ISO_0_ES.jpg?imwidth=176,D
,,Chorizo iberico extra Nuestra Alacena bandeja 2 x 60 g,"1,99 €",https://www.dia.es/product_images/273996/273996_ISO_0_ES.jpg?imwidth=176,A
,,Salchichon nobleza Elpozo bandeja 65 g,"1,00 €",https://www.dia.es/product_images/176887/176887_ISO_0_ES.jpg?imwidth=176,C
,,Sobrasada Elpozo tarrina 250 g,"1,85 €",https://www.dia.es/product_images/115088/115088_ISO_0_ES.jpg?imwidth=176,B
